,year_week,WHO_label,percentage
378,2021-34,Delta,24.28
379,2021-34,Epsilon,0.0
380,2021-34,Gamma,0.13
381,2021-34,Lambda,0.03
382,2021-34,Mu,0.1
383,2021-34,Other,0.13
384,2021-35,Alpha,0.19
385,2021-35,Beta,0.0
386,2021-35,Delta,28.32
387,2021-35,Epsilon,0.0
388,2021-35,Gamma,0.08
389,2021-35,Lambda,0.0
390,2021-35,Mu,0.08
391,2021-35,Other,0.18
392,2021-36,Alpha,0.14
393,2021-36,Beta,0.0
394,2021-36,Delta,29.38
395,2021-36,Epsilon,0.0
396,2021-36,Gamma,0.0
397,2021-36,Lambda,0.0
398,2021-36,Mu,0.15
399,2021-36,Other,0.15
400,2021-37,Alpha,0.17
401,2021-37,Beta,0.0
402,2021-37,Delta,25.55
403,2021-37,Epsilon,0.0
404,2021-37,Gamma,0.13
405,2021-37,Lambda,0.0
406,2021-37,Mu,0.31
407,2021-37,Other,0.18
408,2021-38,Alpha,0.0
409,2021-38,Beta,0.0
410,2021-38,Delta,30.41
411,2021-38,Epsilon,0.0
412,2021-38,Gamma,0.0
413,2021-38,Lambda,0.0
414,2021-38,Mu,0.08
415,2021-38,Other,0.22
416,2021-39,Alpha,0.0
417,2021-39,Beta,0.0
418,2021-39,Delta,27.72
419,2021-39,Epsilon,0.0
420,2021-39,Gamma,0.0
421,2021-39,Lambda,0.0
422,2021-39,Mu,0.65
423,2021-39,Other,0.12
424,2021-40,Alpha,0.14
425,2021-40,Beta,0.0
426,2021-40,Delta,24.75
427,2021-40,Epsilon,0.0
428,2021-40,Gamma,0.0
429,2021-40,Lambda,0.0
430,2021-40,Mu,0.36
431,2021-40,Other,0.16
432,2021-41,Alpha,0.0
433,2021-41,Beta,0.0
434,2021-41,Delta,23.91
435,2021-41,Epsilon,0.0
436,2021-41,Gamma,0.0
437,2021-41,Lambda,0.0
438,2021-41,Mu,0.0
439,2021-41,Other,0.75
440,2021-42,Alpha,0.0
441,2021-42,Beta,0.0
442,2021-42,Delta,20.0
443,2021-42,Epsilon,0.0
444,2021-42,Gamma,0.0
445,2021-42,Lambda,0.0
446,2021-42,Mu,0.0
447,2021-42,Other,0.0
